ID,lnwage
1249,2.851851896
257,2.634065247
849,3.094636774
15,2.828752596
1475,2.577219852
639,2.867155294
900,2.586218255
841,2.739612698
1464,2.580763641
655,3.245794082
244,2.982351539
954,2.330024072
1169,2.356375405
964,2.721681755
327,3.447944975
1428,2.201338179
1234,3.196492343
531,2.838299937
580,2.63903552
644,2.852051437
990,3.266162823
1293,2.237558289
1002,2.617892525
780,3.143028862
532,3.064961106
198,3.059789827
705,2.837711581
969,2.760123728
979,2.466520688
940,2.77788824
1032,3.298483395
1479,3.205061023
539,2.343073397
481,2.738791686
633,2.536990611
109,2.772587535
123,2.820564161
119,2.146534142
909,3.002069311
650,2.439300376
1253,2.617436421
844,2.558304807
998,2.696369649
1029,2.617154653
647,3.25738958
312,2.488633199
102,2.910788065
251,3.44420893
813,2.834411817
186,3.012439227
459,2.811722208
141,2.813021808
905,3.19813065
1041,2.645662866
417,2.844904576
1218,3.140788676
493,3.126407483
1059,2.84864584
1066,2.469527807
1017,3.010713089
1401,2.866600872
846,2.691529501
572,3.403576679
1096,3.021842288
776,3.174880813
888,2.498044913
735,2.592173008
904,2.508569964
834,2.829589685
1161,3.222798815
917,2.704684374
193,2.453319613
272,2.907079984
908,2.973570187
519,2.543569217
1215,2.805892511
377,2.72206295
50,2.808811847
1362,3.241654118
858,2.466213103
472,2.44264383
1093,2.61305995
513,2.450645477
80,2.911285813
4,2.362729103
221,3.275484862
1121,3.212587042
534,3.07701836
708,2.588146949
303,2.910120772
1492,2.670985855
184,2.714687873
637,2.483775972
883,2.48341993
441,2.507226941
1478,2.957363759
1342,2.761711806
267,3.062062023
599,2.781877107
1131,2.732712315
1220,2.648822442
1426,3.155742771
1437,2.465840131
1061,3.047259244
902,2.780744271
629,2.318586217
263,2.671202295
1366,2.79574423
179,2.693507643
741,2.844904576
1,2.640787248
1472,2.422517636
547,2.768316887
1057,2.802624516
1130,2.886381693
1223,2.791647409
645,3.039604833
842,2.967063101
347,3.276566383
19,2.501720962
93,2.582384781
792,2.604711645
993,2.998666584
748,2.821117324
1172,3.073904239
456,2.293688191
1162,2.782102155
835,2.56835961
338,2.845409999
1210,2.46205138
1024,2.508210689
1272,3.101286724
453,2.466889574
444,2.795375298
487,2.829978417
1427,3.193745174
88,2.629117655
280,3.298194123
311,2.80898989
654,2.957970784
1200,2.674802101
12,2.698030474
1170,3.147954592
262,3.217873733
390,2.867155294
148,2.661008378
74,2.205799484
509,2.928172227
1326,2.279864848
1241,2.438963849
65,2.235114883
1278,3.081889349
1404,2.790925284
550,2.940125494
42,2.707701979
285,3.333982237
380,2.415958152
793,2.705020524
1320,2.4430608
874,2.717607423
686,2.808037286
1435,2.327141316
147,2.845036126
566,2.584169553
1094,2.353813113
1489,2.551392017
144,2.556681785
867,2.592638634
1126,3.376768198
451,2.597133279
986,2.61916263
1343,3.039288657
1486,2.83647923
676,3.288726612
64,2.886158734
170,2.829624509
1205,3.406145229
806,2.84564188
926,2.204793152
479,2.796378538
462,2.409712507
968,2.622845806
6,3.125477484
1021,2.771466638
694,3.067226099
467,3.519135221
1395,2.678307855
489,2.876190289
559,2.826595446
259,2.561112665
1283,2.528330354
171,2.901827815
388,3.369986859
638,3.123028925
524,2.578115269
1454,2.876553517
225,2.687267803
1321,3.356668095
529,2.968482653
1487,2.906681099
1500,2.702872093
634,3.067769294
967,2.741102781
41,2.791953028
567,2.838697383
412,2.901576541
1239,2.452176823
1150,2.76619424
1224,3.198706909
1281,2.930238468
454,2.615745055
140,2.600823942
790,2.226024557
111,3.26643475
439,2.516816646
890,2.798319295
116,2.335809902
365,2.907079984
671,2.862713973
1216,2.810244536
973,3.127154702
127,2.724812377
268,2.233277986
823,2.599969689
807,2.716115802
131,2.785453276
125,2.808671706
1053,2.905400777
736,2.413091889
533,2.461764085
809,2.415105837
771,2.781782969
422,3.176980196
590,2.44178313
1243,2.638965296
1186,2.783325369
250,2.747512929
155,2.745630423
1441,2.603621125
1152,2.680695837
1178,3.012233861
1350,2.578654189
204,2.626316596
413,2.846959372
323,2.627570236
105,2.879036933
284,3.332600105
52,3.112048091
1306,2.724812377
894,2.987428031
342,2.854638579
1084,2.926959586
687,2.662247566
237,2.871796903
57,2.609698675
195,2.604711645
108,3.130039314
1018,3.287328106
405,2.452504379
200,2.695712948
475,2.967063101
450,2.259159873
1315,2.554870862
1467,2.996571853
781,2.980280509
315,2.934232689
1189,2.281534344
779,2.715418626
1212,3.038774667
851,2.45820034
616,2.264848397
1237,3.310821566
1109,3.369830041
79,3.307659749
668,3.005757636
746,2.576820687
581,2.823564372
68,2.38098756
143,2.808811847
1003,2.910111422
897,2.823914221
1357,2.725839554
553,3.271078033
1027,2.28053989
223,2.750090813
26,2.602337913
395,2.387247073
432,2.179902814
403,2.4100242
107,3.229226092
1263,3.317154635
296,3.449341256
884,2.565279432
1271,2.977798233
1012,2.868585381
1087,2.562479319
1291,2.622156342
1286,3.072292133
710,2.444290013
625,3.460992619
205,2.780916571
1424,3.12803318
1267,2.725494003
1022,2.727902269
62,2.245359386
1335,3.108076089
1420,2.506318254
658,2.327156743
58,2.939426223
1414,3.106536049
857,3.290021057
593,2.858965797
1397,2.583076758
182,2.58821606
1048,2.280394535
977,2.463490659
379,2.562743607
385,2.405847102
13,2.569574822
873,2.738676515
40,3.054183628
652,2.746470222
1171,3.045824028
1105,2.811219612
544,2.874711721
1388,2.441318015
369,3.014716942
340,2.791248696
1359,3.10328938
1325,3.195532353
497,2.852051437
1347,2.781782969
1269,2.925548163
1449,3.420076413
1494,2.965114192
930,2.888363179
71,2.703128736
1052,3.13154928
210,2.692651776
1413,2.383599986
1348,3.180407733
840,2.692668847
785,2.90460272
865,2.43268861
161,3.03080652
681,2.702160475
1211,2.995481951
240,3.191915154
488,2.833611
585,2.736865809
416,3.252216526
1045,3.074117077
1496,3.293497322
562,2.386774132
430,3.316607408
232,2.471668645
1046,2.541926887
1163,2.379664466
114,2.586967728
856,2.549387072
1206,2.18649005
17,3.349149817
774,2.587755569
760,3.158467397
864,2.593594019
715,2.658469692
510,2.56737897
711,2.270692698
169,2.72616324
783,2.656373501
1067,2.496750412
963,2.904020649
1336,2.933178866
714,3.213376078
721,2.800184542
819,3.127015205
1311,3.25825053
587,2.803481504
560,3.252280692
24,2.434534818
354,2.675981168
1001,2.603033334
512,2.736745075
59,2.891673387
730,2.958741309
391,2.972710084
279,2.931638563
1099,2.912662728
918,2.759486949
885,3.369145623
1183,2.242153142
1085,2.920041811
392,2.66925738
357,2.826313977
548,3.028436393
483,2.979068337
304,3.372062726
128,3.070132829
928,2.874616595
476,2.732712315
293,3.190638775
540,2.815493521
1254,2.610007556
207,2.885744078
1042,2.518131312
1192,2.289128105
492,2.798621447
1101,2.861398288
222,2.592173008
1194,2.381015667
720,2.46370711
1297,2.606253246
1442,2.517556794
1198,2.682278578
363,2.71925067
1393,2.622819464
167,2.923809233
1044,2.620690208
399,2.873881344
343,3.11529016
235,3.419735042
1193,3.211316041
782,2.631381636
703,2.903962732
520,2.605598208
1009,3.058698902
549,2.915450726
604,2.590331831
1490,2.930667233
514,2.609272876
211,2.576671498
190,2.791431991
1440,2.363001095
1493,2.572034954
56,2.435190111
14,2.588615171
1383,2.615395715
1264,3.377877081
966,3.286809698
1381,2.79081473
318,2.300794999
1261,2.639094399
734,2.363624809
589,2.969446281
1266,2.832475586
8,3.135493482
130,3.017263479
1153,2.603303537
1288,3.293886176
1316,2.726450086
1351,2.760133496
839,2.588703515
527,3.120120914
1469,2.582896808
837,2.5645834
571,2.339096099
1248,3.198205734
646,2.344893116
811,2.917633873
423,2.975346617
871,2.8334198
282,2.558655002
1313,2.291729512
1371,2.591819971
265,2.603086941
1091,3.320443578
845,3.036955692
628,2.809136344
631,2.799265277
231,3.160883622
906,2.737001904
830,2.967063101
1419,3.055217975
759,2.963248098
702,2.893438116
648,3.037155168
927,2.51897478
1319,2.587511968
726,2.501966487
396,2.902155046
72,3.023499216
949,2.33655147
1231,2.656530415
174,2.891066641
1287,2.881578531
636,2.627281306
738,3.198909852
1089,2.995481951
922,2.692351015
889,2.381399586
139,2.636431771
1408,3.129246348
373,3.22080604
100,2.999339665
861,3.066998307
278,2.482633568
1038,3.231336618
1164,2.450767798
670,2.743420742
21,2.542752006
